Id,DimMeasurementId,Axis,Measurement,Nominal,PositiveTolerance,NegativeTolerance,Bonus,Deviation,OutTolerance,OutToleranceBar,PlanId,PartNo,PlanProductId,Type,IdSymbol,WarningLimitCf,FeatureId,FeatureSigma,Comment,Link,LinkMode,Mmc,UserUpperTol,UserLowerTol,Fftphi,FftphiUnit,ZoneRoundnessAngle,GroupName,GroupName2,DatumAid,DatumBid,DatumCid,NatUpperTolId,NatLowerTolId,DecimalPlaces,FeaturePosX,FeaturePosY,FeaturePosZ,Unit,Confirmation,CreatedDate,UpdatedDate
c62100ce-8730-4ab2-b91c-3b283a36dd95,736fdbf7-c3ea-43c7-9537-bce74ee4cfba,,0.0150476,0.0,0.015,0.0,,0.0150476,4.76E+10,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:10.352706,2022-01-18 10:00:10.352706
0cfc5f22-a150-4cf5-a3b2-44cfd29c3988,a0994132-080e-4a74-812d-02d337306b8b,,849.069.613,84.93,0.02,-0.02,,-0.0230387,0.0030386999999999983,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:12.399384,2022-01-18 10:00:12.399384
387278ff-a704-4af7-9756-bff630b544ce,d336c5ea-42a5-4caa-bf2d-c10b9466f391,,0.0615681,0.0,0.06,0.0,,0.0615681,0.0015681000000000028,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:12.399384,2022-01-18 10:00:12.399384
586632dc-2ea2-475a-882e-a672fa8699b8,5d4618bd-99a3-46c2-9882-242de2048012,,0.0615681,0.0,0.06,0.0,,0.0615681,0.0015681000000000028,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:12.399384,2022-01-18 10:00:12.399384
a4d9e1f5-d5e4-4583-9d0a-a3e62f61d0f6,cb313bed-bdb0-4533-9715-a6bbb2697adc,,0.016678,0.0,0.015,0.0,,0.016678,0.001677999999999999,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:12.399384,2022-01-18 10:00:12.399384
fabe056e-6ce0-4261-89e5-45de1a996f87,1b8c693e-abf1-42b5-abb9-9dd4dc29ffae,,0.0131548,0.0,0.012,0.0,,0.0131548,0.0011547999999999992,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:12.399384,2022-01-18 10:00:12.399384
5be9cbab-e950-4c21-b4f7-d95511adfd79,feffef69-25f4-4183-98a7-10d767b11aa3,,0.0618354,0.0,0.06,0.0,,0.0618354,0.001835400000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:14.449897,2022-01-18 10:00:14.449897
6eb8fd0e-2d17-47de-8fb9-29e842ac088b,fb85a9cc-2854-4bdf-a8d3-7d71b3a4086c,,0.0618354,0.0,0.06,0.0,,0.0618354,0.001835400000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:14.449897,2022-01-18 10:00:14.449897
e87e1318-9086-4fa6-88db-c2c31aed4dfb,f4af02a0-9956-4078-8fde-e11812af9fd6,,0.0173676,0.0,0.015,0.0,,0.0173676,0.002367600000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:14.449897,2022-01-18 10:00:14.449897
2fed9f06-d36f-423a-b0e6-527f9a1e0127,5b62c90a-9db3-4600-bbc3-1d236e148bcd,,0.054831,0.0,0.05,0.0,,0.054831,0.004830999999999995,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:16.495414,2022-01-18 10:00:16.495414
